,title,dates,place,description
210,"🎹 Saperi & Sapori - Echi mediterranei`
",03.08.2024 | 19:00 - 04.08.2024 | 00:00,"Centro Storico, Valenzano (Ba)

PROGRAMMA

ore 19.00-21.00 
Spazio giochi in largo Garibaldi

ore 19.00-24.00 
Apertura stand enogastronomici nel percorso del Centro Storico

ore 19.00-24.00 
Apertura stand artigianali nel percorso del Centro Storico

ore 21.00-22.00 
Spazio talk in largo Garibaldi
Shady Alizadeh - Donna è l’Europa che parla di pace
Giulio Albano - Mediterraneo: crocevia di storia, popoli ed economie
Laura Rizzo - Walk and talk. Storie migranti
Isabella Calè - La dieta mediterranea: una piramide di salute ed ecosostenibilità 
Maurizio Mascara - Non è stato il mare. A Cutro
Domenico Mortellaro- Palestina? In diretta, a due passi da noi.
Gloria Elicio - Sfide invisibili: bias cognitivi e integrazione

ore 21.00-24.00 
Concerto Checco Sossio + U’ Munacidde in largo San Benedetto","
PROGRAMMA

ore 19.00-21.00 
Spazio giochi in largo Garibaldi

ore 19.00-24.00 
Apertura stand enogastronomici nel percorso del Centro Storico

ore 19.00-24.00 
Apertura stand artigianali nel percorso del Centro Storico

ore 21.00-22.00 
Spazio talk in largo Garibaldi
Shady Alizadeh - Donna è l’Europa che parla di pace
Giulio Albano - Mediterraneo: crocevia di storia, popoli ed economie
Laura Rizzo - Walk and talk. Storie migranti
Isabella Calè - La dieta mediterranea: una piramide di salute ed ecosostenibilità 
Maurizio Mascara - Non è stato il mare. A Cutro
Domenico Mortellaro- Palestina? In diretta, a due passi da noi.
Gloria Elicio - Sfide invisibili: bias cognitivi e integrazione

ore 21.00-24.00 
Concerto Checco Sossio + U’ Munacidde in largo San Benedetto"
211,"🎹 Premio Nazionale Giovane dell’Anno`
",02.08.2024 | 19:00 - 23:00,"Arena Castello, Mola di Bari (BA)

🏆L’Associazione Ala di Riserva e tutto lo staff della Notte Bianca dei Giovani vi invita alla serata dedicata al  “Premio Nazionale Giovane dell’Anno” che, quest’anno, sarà consegnato al giovane cantautore italiano Matteo Faustini.

🗓️Quando? Venerdì  2 agosto alle ore 19:00; 
","
🏆L’Associazione Ala di Riserva e tutto lo staff della Notte Bianca dei Giovani vi invita alla serata dedicata al  “Premio Nazionale Giovane dell’Anno” che, quest’anno, sarà consegnato al giovane cantautore italiano Matteo Faustini.

🗓️Quando? Venerdì  2 agosto alle ore 19:00; 
Dove? Presso i Locali Pista adiacenti al Castello Angioino.

✍🏻L’incontro, condotto dal giornalista RAI Giacomo Susca , vedrà la partecipazione straordinaria di alcuni degli Amministratori locali dell’area metropolitana di Bari che si confronteranno sull’importante  tema delle politiche giovanili e del lavoro. 

🎤Dalle ore 21:00, in Arena Castello, saremo in compagnia del Vincitore del Premio Nazionale Giovane dell’Anno  Matteo Faustini, che allieterà la serata con la sua musica fatta di parole che rompono i silenzi e che arrivano dritte al cuore.

INGRESSO LIBERO E GRATUITO"
212,"📖 “Lo Stupore dell’Arcobaleno” Cerimonia di premiazione del concorso nazionale di scrittura creativa`
",01.08.2024 | 18:30 - 21:30,"Chiostro di Santa Chiara, Mola di Bari (BA)

✨L’Associazione Ala di Riserva e tutto lo staff della Notte Bianca dei Giovani vi invita alla Cerimonia di premiazione del Concorso Nazionale di Scrittura Creativa “Lo stupore dell’Arcobaleno” dedicato alla nostra indimenticabile amica Marilù Calabrese e indetto dalla Scuola Secondaria di Primo Grado Alighieri-Tanzi.

📚Tanti gli elaborati ricevuti anche quest’anno e siamo emozionati di poterli condividere con tutti voi e premiare il vincitore!

🌈Con la partecipazione della Dott.ssa Francesca Maiullari, special guest di questo pomeriggio sarà la dolcissima influencer di positivà LaSMAgnifica Sofia

🤹Per i più piccoli, invece, l’intrattenimento sarà a cura di AIGAM e de La Bottega Cicci Coccó.

INGRESSO LIBERO E GRATUITO","
✨L’Associazione Ala di Riserva e tutto lo staff della Notte Bianca dei Giovani vi invita alla Cerimonia di premiazione del Concorso Nazionale di Scrittura Creativa “Lo stupore dell’Arcobaleno” dedicato alla nostra indimenticabile amica Marilù Calabrese e indetto dalla Scuola Secondaria di Primo Grado Alighieri-Tanzi.

📚Tanti gli elaborati ricevuti anche quest’anno e siamo emozionati di poterli condividere con tutti voi e premiare il vincitore!

🌈Con la partecipazione della Dott.ssa Francesca Maiullari, special guest di questo pomeriggio sarà la dolcissima influencer di positivà LaSMAgnifica Sofia

🤹Per i più piccoli, invece, l’intrattenimento sarà a cura di AIGAM e de La Bottega Cicci Coccó.

INGRESSO LIBERO E GRATUITO"
213,"🎹 Concerto Orchestra Sinfonica Metropolitana di Bari - Vento d’Estate`
",30.07.2024 | 21:00 - 23:00,"Arena Castello, Mola di Bari (BA)

Con brani di Nicolò Fabi, Max Gazzè, Daniele Silvestri, Tiromancino, Fiorella Mannoia e Tosca, con la direzione e gli arrangiamenti di Marco Tiso e la voce di Costanza Alegiani, l'Orchestra Sinfonica della Città Metropolitana di Bari apre la tanto attesa settimana della Notte Bianca dei Giovani 2024.

Abbiamo voluto dedicare la prima serata a tutt*, alle famiglie e alla buona musica.❤️

INGRESSO LIBERO E GRATUITO","
Con brani di Nicolò Fabi, Max Gazzè, Daniele Silvestri, Tiromancino, Fiorella Mannoia e Tosca, con la direzione e gli arrangiamenti di Marco Tiso e la voce di Costanza Alegiani, l'Orchestra Sinfonica della Città Metropolitana di Bari apre la tanto attesa settimana della Notte Bianca dei Giovani 2024.

Abbiamo voluto dedicare la prima serata a tutt*, alle famiglie e alla buona musica.❤️

INGRESSO LIBERO E GRATUITO"
214,"🎹 LAMA SONORA Open Air`
",27.07.2024 | 21:30 - 28.07.2024 | 03:30,"Le Macerie - Baracche Ribelli, Molfetta (BA)

Sabato 27 luglio torna LAMA SONORA nella sua versione estiva tra il fresco degli ulivi, con una lineup supersonica carica di fuzz, psichedelia e volumi molesti, formata da due band localz di grande spessore, autentici tesori della nostra terra, e una band da fuori regione che alzerà ulteriormente il livello della serata e che avremo l'onore di ospitare per la loro prima volta in Puglia.

Quindi preparatevi a viaggiare dalle 21.30 con:

Turangalila - Post Psych Noise da Bari

Toba - Mass Extinction Music da Roma

Bodah - Lysergic Stones da Bari

A seguire dj set di Dj Fractal","
Sabato 27 luglio torna LAMA SONORA nella sua versione estiva tra il fresco degli ulivi, con una lineup supersonica carica di fuzz, psichedelia e volumi molesti, formata da due band localz di grande spessore, autentici tesori della nostra terra, e una band da fuori regione che alzerà ulteriormente il livello della serata e che avremo l'onore di ospitare per la loro prima volta in Puglia.

Quindi preparatevi a viaggiare dalle 21.30 con:

Turangalila - Post Psych Noise da Bari

Toba - Mass Extinction Music da Roma

Bodah - Lysergic Stones da Bari

A seguire dj set di Dj Fractal"
215,"🎹 🫒 *TEKNOLIVE* 🫒`
",26.07.2024 | 00:00 - 08:00,"THE OLIVE - Via Sandro Pertini snc, San Giorgio Jonico (TA)

€7 dalle 00:00 alle 02:30 con QR CODE 
€12 senza QR CODE o dalle 02:30 

LINK RIDUZIONE
https://xceed.me/it/adb-solutions/event/teknolive-260724-163819/channel-munart-ets

INGRESSO RISERVATO AI SOCI MUNART TESSERAMENTO SOLO ONLINE

LINK TESSERAMENTO ONLINE https://docs.google.com/forms/d/10lyCIHzI42pgLwsWRu7S8uu1BwPFPsiW9EaHduHV54/edit","
€7 dalle 00:00 alle 02:30 con QR CODE 
€12 senza QR CODE o dalle 02:30 

LINK RIDUZIONE
https://xceed.me/it/adb-solutions/event/teknolive-260724-163819/channel-munart-ets

INGRESSO RISERVATO AI SOCI MUNART TESSERAMENTO SOLO ONLINE

LINK TESSERAMENTO ONLINE https://docs.google.com/forms/d/10lyCIHzI42pgLwsWRu7S8uu1BwPFPsiW9EaHduHV54/edit"
216,"🎹 IndaRanch Festival`
",26.07.2024 | 21:30 - 27.07.2024 | 00:30,"C.da Madonna Dattoli, Ginosa (TA)

#IndaRanchFestival 🎶 🚀

VENERDÌ 26 LUGLIO (ore 21:30) si aprono le danze della 4^ edizione del “IndaRanch Festival” 🚀🚀🚀

Sul palco i maestri
Moddi MC & Dj Madkid 💥💥

Open Act: R££D 💥

Ti aspettiamo #IndaRanch ❤️‍🔥

Grafiche di Virginia Martemucci 🖌️

⚠️ INGRESSO LIBERO CON TESSERA INDAHOUSE ⚠️

🆕 TESSERA INDAHOUSE 2024/2025 🆕

CLICCA SUL LINK 👇🏼

https://wallyfor.com/step1.php?idcode=5063&grupponotifica=1663

* COMPILA IL FORM CON I TUOI DATI
* AGGIUNGI LA TESSERA AL TUO WALLET

❗️APRI IL LINK SU SAFARI O CHROME ❗️","
#IndaRanchFestival 🎶 🚀

VENERDÌ 26 LUGLIO (ore 21:30 si aprono le danze della 4^ edizione del “IndaRanch Festival” 🚀🚀🚀

Sul palco i maestri
Moddi MC & Dj Madkid 💥💥

Open Act: R££D 💥

Ti aspettiamo #IndaRanch ❤️‍🔥

Grafiche di Virginia Martemucci 🖌️

⚠️ INGRESSO LIBERO CON TESSERA INDAHOUSE ⚠️

🆕 TESSERA INDAHOUSE 2024/2025 🆕

CLICCA SUL LINK 👇🏼

https://wallyfor.com/step1.php?idcode=5063&grupponotifica=1663

* COMPILA IL FORM CON I TUOI DATI
* AGGIUNGI LA TESSERA AL TUO WALLET

❗️APRI IL LINK SU SAFARI O CHROME ❗️"
217,"🎨 STANZE DEL MAR ROSSO`
",21.07.2024 | 19:00 - 22:00,"Casa del Popolo, Via pentite 15, Taranto

Mostra fotografica con talk di stand-up naturalistica accompagnata da aperitivo a prezzi popolari🏴‍☠️ FREE ENTRY",
218,"🎥 CineVillage - Indahouse`
",22.07.2024 | 21:00 - 23:00,"C.da Madonna Dattoli, Ginosa (TA)

#CineVillage2024 🎥🍿

Pronti per il 3º ed ultimo appuntamento con il cinema sotto le stelle? ✨ 🍿

Ti aspettiamo DOMANI 22 LUGLIO alle 21:00
per goderci insieme il film cardine della stagione del #Cinevillage, “Palazzina Laf”❤️

Prenota il tuo posto!
Ti aspettiamo #IndaRanch 🌿 ✨ 

Grafiche di Virginia Martemucci 🖌️

⚠️ INGRESSO LIBERO CON TESSERA INDAHOUSE ⚠️

🆕 TESSERA INDAHOUSE 2024/2025 🆕

CLICCA SUL LINK 👇🏼

https://wallyfor.com/step1.php?idcode=5063&grupponotifica=1663

* COMPILA IL FORM CON I TUOI DATI
* AGGIUNGI LA TESSERA AL TUO WALLET

❗️APRI IL LINK SU SAFARI O CHROME ❗️","
#CineVillage2024 🎥🍿

Pronti per il 3º ed ultimo appuntamento con il cinema sotto le stelle? ✨ 🍿

Ti aspettiamo DOMANI 22 LUGLIO alle 21:00
per goderci insieme il film cardine della stagione del #Cinevillage, “Palazzina Laf”❤️

Prenota il tuo posto!
Ti aspettiamo #IndaRanch 🌿 ✨ 

Grafiche di Virginia Martemucci 🖌️

⚠️ INGRESSO LIBERO CON TESSERA INDAHOUSE ⚠️

🆕 TESSERA INDAHOUSE 2024/2025 🆕

CLICCA SUL LINK 👇🏼

https://wallyfor.com/step1.php?idcode=5063&grupponotifica=1663

* COMPILA IL FORM CON I TUOI DATI
* AGGIUNGI LA TESSERA AL TUO WALLET

❗️APRI IL LINK SU SAFARI O CHROME ❗️"
219,"🎹 Groovechat - Voce Ai Dj!`
",22.07.2024 | 19:30,,
220,"🎹 Le Cumbinate | Rampa Live Music`
",17.07.2024 | 21:00 - 18.07.2024 | 00:00,"Rampavilla, Conversano (BA)

Le Cumbinate
Ritmi intorno all’equatore

Un gruppo di donne, un cerchio di frequenze.
Una famiglia sonora ed emotiva.
Sette musiciste che vibrano insieme creando musica.
Berimbao, ukulele, pandeiro, ottoni e voci girano attorno al suono del tambor! Attingendo ai ritmi atavici delle mitologie afro-amerindie, la world music delle Cumbinate spazia dal Samba Brasiliano alla Cumbia Colombiana, dal Reggae all’Afro-beat fino al pulsare essenziale di percussioni e voci, toccando sonorità latine, tribali ed etniche.
Un concerto tutto al femminile dal sapore Sudamericano ma non solo, un groove eclettico e travolgente che fa ballare e divertire qualsiasi pubblico.","
Le Cumbinate
Ritmi intorno all’equatore

Un gruppo di donne, un cerchio di frequenze.
Una famiglia sonora ed emotiva.
Sette musiciste che vibrano insieme creando musica.
Berimbao, ukulele, pandeiro, ottoni e voci girano attorno al suono del tambor! Attingendo ai ritmi atavici delle mitologie afro-amerindie, la world music delle Cumbinate spazia dal Samba Brasiliano alla Cumbia Colombiana, dal Reggae all’Afro-beat fino al pulsare essenziale di percussioni e voci, toccando sonorità latine, tribali ed etniche.
Un concerto tutto al femminile dal sapore Sudamericano ma non solo, un groove eclettico e travolgente che fa ballare e divertire qualsiasi pubblico."
221,"🎭 Stand Up Comedy - Indahouse Aps`
",16.07.2024 | 21:30 - 22:30,"C.da Madonna Dattoli, Ginosa (TA)

🎙️ Stand Up Week 🎙️

Hai mai riso così tanto da sentire gli addominali il giorno dopo? 🤔

Sul palco 👇🏼 🎙️
MARTEDÌ 16 LUGLIO ORE 21:00
Il Cozzaro Channel🎙️
Zelig Lab Puglia

PRENOTA il tuo posto per non perdere l'occasione di iniziare l'estate con una risata! 😁😁

INGRESSO GRATUITO CON TESSERA INDAHOUSE

🆕 TESSERA INDAHOUSE 2024/2025 🆕

CLICCA SUL LINK 👇🏼

https://wallyfor.com/step1.php?idcode=5063&grupponotifica=1663

* COMPILA IL FORM CON I TUOI DATI
* AGGIUNGI LA TESSERA AL TUO WALLET

❗️APRI IL LINK SU SAFARI O CHROME ❗️

Ti aspettiamo #IndaRanch ❤️‍🔥","
🎙️ Stand Up Week 🎙️

Hai mai riso così tanto da sentire gli addominali il giorno dopo? 🤔

Sul palco 👇🏼 🎙️
MARTEDÌ 16 LUGLIO ORE 21:00
Il Cozzaro Channel🎙️
Zelig Lab Puglia

PRENOTA il tuo posto per non perdere l'occasione di iniziare l'estate con una risata! 😁😁

INGRESSO GRATUITO CON TESSERA INDAHOUSE

🆕 TESSERA INDAHOUSE 2024/2025 🆕

CLICCA SUL LINK 👇🏼

https://wallyfor.com/step1.php?idcode=5063&grupponotifica=1663

* COMPILA IL FORM CON I TUOI DATI
* AGGIUNGI LA TESSERA AL TUO WALLET

❗️APRI IL LINK SU SAFARI O CHROME ❗️

Ti aspettiamo #IndaRanch ❤️‍🔥"
222,"🎥 Festa del Cinema in Libertà 2024`
",08.07.2024 | 21:00,,
223,"🎹 SECOLARE FESTIVAL 2024 - Unboxing Worlds`
",02.08.2024 | 16:30,,"- Alta Murgia

✹ 𝗦𝗘𝗖𝗢𝗟𝗔𝗥𝗘 𝗙𝗘𝗦𝗧𝗜𝗩𝗔𝗟 ✹
www.secolarefestival.it
❧ 2 e 3 agosto 2024, la seconda edizione
↣ Agriturismo San Giuseppe
✥ Corato, Alta Murgia

🎟 Full pass: €29 ↦ https://bit.ly/SecolareFullPass
🎫 Single day: €19 ↦ https://bit.ly/SecolareDay1 / https://bit.ly/SecolareDay2
🏕️ Free Camping dall'1 al 4 agosto, con full pass e su prenotazione

Aree tematiche: 
Live Band, Dj Set, Food & Drink, Area Kids, E-bike, Trekking, Escursioni a Cavallo, 
Workshop, Yoga, Drum Circle, Vintage & Market

Nel cuore dell'Alta Murgia un festival musicale in cui scoperta, ascolto, comunità si trasformano in un flusso unico. 
Un occasione per schiudere le porte del proprio giardino e lasciare che si contamini con tutti i mondi che lo circondano.

Info e programmi: www.secolarefestival.it"
224,"🎹 Turangalila e 85 Fotogrammi live al Bread`
",12.07.2024 | 21:30 - 13.07.2024 | 00:30,"Bread&Roses, Bari (BA)

https://www.instagram.com/p/C8kOrTBtN-9/?igsh=eWF2ZTB1YzRuMDB1","
https://www.instagram.com/p/C8kOrTBtN-9/?igsh=eWF2ZTB1YzRuMDB1"
225,"🎹 Sara & The Synthomatics Nu soul live music`
",12.07.2024 | 22:00 - 23:00,"Pecora Nera, Cassano delle Murge (BA)

https://www.instagram.com/synthomatics?igsh=MTJ4MHhzaHY2bXg0","
https://www.instagram.com/synthomatics?igsh=MTJ4MHhzaHY2bXg0"
226,"🎹 A’la vie d’for`
",13.07.2024 | 19:30 - 14.07.2024 | 00:30,"Masseria Loiodice, Corato (BA)

Questo non è un festival, è un fatto in campagna: musica, vino, cose buone da mangiare, grilli. Il Trifone tra le colline della Murgia.

A farci ridere e ballare Aldolà Chivalà, da Napoli: musica e poesia, campionamenti elettronici, monologhi surreali tra slam poetry e canzoni ironiche e nonsense.
Prima di lui, un tramonto meridiano, coi nostri drink e musica a stare. Infine, per ballare coi lupi, Dj Lalaram. Con noi la stamperia nomade e Zic Zic, piccola stamperia indipendente. Tutte cose belle.

L’ingresso è su offerta, i posti finiscono per cui non fate troppo tardi. Si inizia dalle 19.30, tra le pietre di Masseria Loiodice.
Mena meh, vi aspettiamo a’ là vie d’ for.

https://www.facebook.com/share/LNDKJN8AUv7MGBbj/?mibextid=9l3rBW","
Questo non è un festival, è un fatto in campagna: musica, vino, cose buone da mangiare, grilli. Il Trifone tra le colline della Murgia.

A farci ridere e ballare Aldolà Chivalà, da Napoli: musica e poesia, campionamenti elettronici, monologhi surreali tra slam poetry e canzoni ironiche e nonsense.
Prima di lui, un tramonto meridiano, coi nostri drink e musica a stare. Infine, per ballare coi lupi, Dj Lalaram. Con noi la stamperia nomade e Zic Zic, piccola stamperia indipendente. Tutte cose belle.

L’ingresso è su offerta, i posti finiscono per cui non fate troppo tardi. Si inizia dalle 19.30, tra le pietre di Masseria Loiodice.
Mena meh, vi aspettiamo a’ là vie d’ for.

https://www.facebook.com/share/LNDKJN8AUv7MGBbj/?mibextid=9l3rBW"
227,"🎹 Sara & The Synthomatics, neo soul live`
",01.07.2024 | 20:30 - 23:30,"Palazzo di Città, Corato (BA)

https://www.instagram.com/synthomatics?igsh=MXZveXBicGYwZDQ2MQ==","
https://www.instagram.com/synthomatics?igsh=MXZveXBicGYwZDQ2MQ=="
228,"📖 ""MA QUANTO PARLANO QUESTI SILENT BOOK! Laboratorio sui silent books con Francesco Zamboni di CARTHUSIA EDIZIONI`
",03.07.2024 | 10:00 - 14:00,"Spine Bookstore c/o Officina degli Esordi, Via Crispi n.5, Bari

Un corso dedicato ai Silent book, in collaborazione con Carthusia Edizioni, per aumentare la consapevolezza sulla grande potenzialità comunicativa dei libri senza parole, sul loro ruolo di libri-ponte e sulla loro utilità come strumenti non solo di intrattenimento, ma anche inclusivi, terapeutici, di alfabetizzazione e di divulgazione. Ai partecipanti saranno forniti spunti pratici su come utilizzare questi strumenti insieme con i più piccoli per un'esperienza ottimale di lettura condivisa.

>>Formatore<<
Francesco Zamboni, foreign rights editor e coordinatore della collana ""Silent Book"" e del Silent Book Contest per Carthusia Edizioni.

👉 Scopri di più e iscriviti qui: https://bit.ly/corso_LAPSilentBook_BA24",
229,"🎹 Black Snake Moan: Live sul Trifone`
",30.06.2024 | 21:30 - 01.07.2024 | 01:30,"Corso Cavour 40, Corato (BA)

Viaggi psichedelici nell'atmosfera d'altri tempi del Trifone 🚛✨

Un altro evento che accade per caso e all'improvviso: questa domenica accoglieremo Black Snake Moan, che ci accompagnerà in un viaggio scandito da echi ancestrali, intensi ed evocativi.

Un progetto di Marco Contestabile, cantante, chitarrista e compositore di Tarquinia che affonda le proprie radici stilistiche nelle atmosfere Delta Blues, Pysch-Rock, Folk-Western.

Black Snake Moan presenterà il suo terzo album ""Lost In Time"", accompagnato alla chitarra e tastiere da Matteo Lattanzi. I due fonderanno due universi apparentemente incociliabili: la terra degli Etruschi misteriosa e occulta ai paesaggi bruciati dal sole dell’America.

🗓️Domenica 30 Giugno
🕰️ 21:30","
Viaggi psichedelici nell'atmosfera d'altri tempi del Trifone 🚛✨

Un altro evento che accade per caso e all'improvviso: questa domenica accoglieremo Black Snake Moan, che ci accompagnerà in un viaggio scandito da echi ancestrali, intensi ed evocativi.

Un progetto di Marco Contestabile, cantante, chitarrista e compositore di Tarquinia che affonda le proprie radici stilistiche nelle atmosfere Delta Blues, Pysch-Rock, Folk-Western.

Black Snake Moan presenterà il suo terzo album ""Lost In Time"", accompagnato alla chitarra e tastiere da Matteo Lattanzi. I due fonderanno due universi apparentemente incociliabili: la terra degli Etruschi misteriosa e occulta ai paesaggi bruciati dal sole dell’America.

🗓️Domenica 30 Giugno
🕰️ 21:30"
